2024-02-08 14:16:51,463 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-08 14:17:03,107 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-08 14:17:07,016 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=1, releaselevel='final', serial=0)
2024-02-08 14:17:07,019 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-08 14:17:07,021 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-08 14:17:12,571 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:18:48,587 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=1, releaselevel='final', serial=0)
2024-02-08 14:18:48,591 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-08 14:18:48,592 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-08 14:18:53,469 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-11 14:16:34,053 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-11 14:16:34,062 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-11 14:16:34,064 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-11 14:16:39,469 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-11 14:39:28,737 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-11 14:39:41,278 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-11 14:39:46,212 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-11 14:57:39,440 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-11 14:59:50,047 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-11 14:59:54,457 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-11 16:00:16,228 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-12 23:09:33,899 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-12 23:09:33,904 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-12 23:09:33,905 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-12 23:09:38,992 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-12 23:11:55,177 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-12 23:12:39,754 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
