2024-01-31 14:39:49,501 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 14:39:49,503 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 14:39:49,504 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 14:40:02,800 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 14:40:02,804 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 14:40:02,805 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 14:40:02,808 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 14:40:02,809 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 14:40:06,160 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=1, releaselevel='final', serial=0)
2024-01-31 14:40:06,161 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-01-31 14:40:06,163 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-01-31 14:41:30,192 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-01-31 14:41:36,011 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-01-31 14:45:45,957 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-01-31 14:49:47,784 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=1, releaselevel='final', serial=0)
2024-01-31 14:49:47,787 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-01-31 14:49:47,789 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-01-31 14:49:52,460 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
